"FWtU1","fJrrk","fJrrk 2","FWtU1 href","Qj_9F src","LBG5d","Z_aNr","t5RmH","t5RmH 2","HaBLt","HaBLt 2","zmm9w","p7NSE src","Kh0Rn","HX987","qHfAA","W9v_K","y2ZHx","y2ZHx 2","y2ZHx 3"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=382620642&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b1/b1958128-ba64-40ae-9a5b-0506f2f9b42d?rule=mo-160w.jpg","Volkswagen T-Roc","Cabriolet MOVE 1,0 l TSI 249,- mtl.  110 P","30.849 €","¹","• 81 kW (110 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 149 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/9b/9bd17a49-3a21-4f45-a10b-890e85c17ad2?rule=mo-80.jpg","32805 Horn-Bad Meinberg","Kurt Stricker GmbH & Co. KG","4.4 Sterne","(142)","Windschott","Regensensor","Vordersitze beheizbar"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=406301483&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/41/41294f3a-f46e-4bd7-a797-9ee244a2e068?rule=mo-160w.jpg","Audi A3","Sportback 30 TFSI S tronic advanced  LED PDC","31.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/55/55d1778c-12e9-47f6-bab6-26b463087c40?rule=mo-80.jpg","49377 Vechta","STARKE Vechta GmbH & Co. KG","4.8 Sterne","(29)","Günstige Finanzierung","1200 Lagerwagen","Inzahlungnahme möglich"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=403944636&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b1/b1ca2af3-ab4b-4a3b-bd0b-a95bbb77dbae?rule=mo-160w.jpg","Audi A3","Sportback 30 TFSI S tronic advanced  LED PDC","31.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/55/55d1778c-12e9-47f6-bab6-26b463087c40?rule=mo-80.jpg","49377 Vechta","STARKE Vechta GmbH & Co. KG","4.8 Sterne","(29)","Günstige Finanzierung","1200 Lagerwagen","Inzahlungnahme möglich"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=406301484&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/e0/e0f06560-b2e0-4303-9884-7a0a1d596d2a?rule=mo-160w.jpg","Audi A3","Sportback 30 TFSI S tronic advanced  LED PDC","31.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/55/55d1778c-12e9-47f6-bab6-26b463087c40?rule=mo-80.jpg","49377 Vechta","STARKE Vechta GmbH & Co. KG","4.8 Sterne","(29)","Günstige Finanzierung","1200 Lagerwagen","Inzahlungnahme möglich"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=403751314&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/81/81941914-9fae-4fd1-a728-9b8af500d260?rule=mo-160w.jpg","Audi A3","Sportback 30 TFSI S tronic advanced  LED PDC","31.790 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 126 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/55/55d1778c-12e9-47f6-bab6-26b463087c40?rule=mo-80.jpg","49377 Vechta","STARKE Vechta GmbH & Co. KG","4.8 Sterne","(29)","Günstige Finanzierung","1200 Lagerwagen","Inzahlungnahme möglich"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420687812&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a6/a63d4a2b-7037-4fc8-b6e3-3032e64e8448?rule=mo-160w.jpg","Volkswagen T-Cross","Life 1.0 l TSI 116 PS 7-Gang-DSG","30.880 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,9 l/100km (komb.) • 134 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/1c/1c2f68fe-a23e-42e9-9ff3-e1d15dd8ed90?rule=mo-80.jpg","90763 Fürth","Autohaus W. Graf GmbH - Volkswagen","4.7 Sterne","(21)","Digitales Cockpit","Abstandstempomat","DAB digitaler..."
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420687805&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/1d/1db769a7-2964-4590-b1d7-8b60055a0038?rule=mo-160w.jpg","Volkswagen Polo","R-Line 1,0 l TSI 116 PS 7-Gang-DSG","30.880 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/1c/1c2f68fe-a23e-42e9-9ff3-e1d15dd8ed90?rule=mo-80.jpg","90763 Fürth","Autohaus W. Graf GmbH - Volkswagen","4.7 Sterne","(21)","Digitales Cockpit","Abstandstempomat","DAB digitaler..."
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=418526890&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/9a/9ae735ef-8f04-48f2-9bc9-88d9c53036d2?rule=mo-160w.jpg","Volkswagen Golf","Variant Facelift Life 150PS AHK+Navi 1.5...","30.640 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,9 l/100km (komb.) • 133 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","88239 Wangen","Automarkt Dinser GmbH EU-Neuwagen","4.9 Sterne","(19)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=395353513&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/43/43e7bf20-54db-4b8e-83ca-74ebac47acab?rule=mo-160w.jpg","Volkswagen Caddy","5-Sitzer Motor 1.5 l TSI EU6 85 kW PDC DAB","30.891 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,5 l/100km (komb.) • 149 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/c8/c8dab9c8-b89e-474c-a03d-a90c4215d5bb?rule=mo-80.jpg","28207 Bremen","NUFA Nutzfahrzeug-Center Schmidt + Koch GmbH","4.1 Sterne","(7)","Lane Assist","Verkehrszeichenerk.","PDC"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=419642706&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/37/3753a141-0e28-4958-84d2-03d018069b42?rule=mo-160w.jpg","Volkswagen T-Cross","Life 1.0 l TSI OPF 70 kW (95 PS) 5-Gang","26.280 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 134 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/67/6775f71b-5226-4034-af50-9ffc82a85885?rule=mo-80.jpg","99817 Eisenach","Autohaus Göthling GmbH","4.4 Sterne","(10)","www.avemo-group.de","20.000 Autos abrufbar","gratis FZ-Bewertung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=394795449&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/ad/ad6d55b1-60d7-4e77-9f5d-c5c3e9b9471f?rule=mo-160w.jpg","Volkswagen Golf","Style 150PS TSI - RFK/LED Plus/SideAssis...","26.564 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","29525 Uelzen","Autohaus Thieme GmbH","4.4 Sterne","(8)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421498352&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/1a/1a50016c-b29c-44c0-906d-6483e483e1bb?rule=mo-160w.jpg","Volkswagen T-Roc","1.0 TSI OPF R-Line Black Style","30.940 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,8 l/100km (komb.) • 132 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/59/5982099c-7c42-4a38-bbb8-db6390017514?rule=mo-80.jpg","92224 Amberg","Fischer Automobile Amberg GmbH & Co. KG","4.7 Sterne","(89)","Markenhändler","Inzahlungnahme möglich","statt UVP 38.477 €"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=413072351&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/6e/6ee5b3e5-8054-4ec5-8b63-3bfa99ed16e4?rule=mo-160w.jpg","Volkswagen Golf","Life 1,5 l TSI LED ACC PDC App-Connect","26.579 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,3 l/100km (komb.) • 121 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","32825 Blomberg","Autohaus Hermann Hache GmbH + Co KG.","4.9 Sterne","(11)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=400398853&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/e7/e7dc366e-7ea7-4809-80b0-67c596a7e23b?rule=mo-160w.jpg","Volkswagen T-Cross","1.0 l TSI DSG *GOAL* NAVI*AHK*KAMERA*17*","30.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,9 l/100km (komb.) • 133 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/22/228a8d09-ca25-48d7-bf15-ae63d0408b9c?rule=mo-80.jpg","77652 Offenburg","Graf Hardenberg GmbH & Co. KG","4.8 Sterne","(20)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414953230&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/2d/2df2dd92-3c3b-4f11-9d2d-3853fc8115ec?rule=mo-160w.jpg","Volkswagen Polo","1.0 TSI DSG R-Line","30.980 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,7 l/100km (komb.) • 129 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/e1/e15e4dd9-d98d-4e72-895d-4c04ceb53ebd?rule=mo-80.jpg","33689 Bielefeld","Schröder Team Sennestadt GmbH & Co. KG","4.8 Sterne","(17)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=385293081&con=NEW&dam=false&isSearchRequest=true&pageNumber=37&ref=srp&refId=4bd83262-2082-6093-2696-5c87ade2b8f4&s=Car&sb=rel&searchId=4bd83262-2082-6093-2696-5c87ade2b8f4&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/2b/2b50f748-b864-4a18-91a2-9202d6d2f207?rule=mo-160w.jpg","Volkswagen Taigo","R-Line 1.0 l TSI OPF DSG DSG AHK NAVI","30.980 €","¹","• 81 kW (110 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 136 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/88/888c6067-27b9-4e29-8cb7-68e366bd73b9?rule=mo-80.jpg","51645 Gummersbach","Richard Stein GmbH & Co. KG","4.5 Sterne","(21)","","",""
"","Suche speichern","37","","","","","","","Speichere diese Suche und lass Dich benachrichtigen, wenn neue Angebote eingestellt werden.","","","","","","","","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=385876923&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/ca/ca8b474d-9a04-4e3c-8259-9fa1cfc76f49?rule=mo-160w.jpg","Volkswagen Taigo","R-Line 1.0 l TSI OPF DSG DSG LED NAVI SHZ","30.980 €","¹","• 81 kW (110 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/88/888c6067-27b9-4e29-8cb7-68e366bd73b9?rule=mo-80.jpg","51645 Gummersbach","Richard Stein GmbH & Co. KG","4.5 Sterne","(21)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=415725069&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/41/41fc6142-15bc-4913-a31e-33586869d142?rule=mo-160w.jpg","Volkswagen Polo","Style 1.0TSI 7-Gang-DSG","30.990 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,4 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/b0/b0b206cf-f86b-47a3-a5ed-2220b4f37405?rule=mo-80.jpg","09337 Bernsdorf","Autohaus Schmidt GmbH","4.9 Sterne","(142)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=421070283&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/f1/f1688512-8168-4d68-b69f-a88fa412a794?rule=mo-160w.jpg","Volkswagen T-Roc","Goal 1.0 l TSI OPF 85 kW","30.990 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","6,2 l/100km (komb.) • 140 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/ee/ee082a89-5f48-4d1a-aaa3-f9e456661d16?rule=mo-80.jpg","50169 Kerpen","Autohaus von Keitz GmbH & Co. KG","4.9 Sterne","(21)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=397325697&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/08/082e2f8c-4530-4956-ad23-5d6e8058132c?rule=mo-160w.jpg","Volkswagen T-Cross","Advanced 1.5 l TSI DSG LED+AHK+ACC+KAMER","30.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/20/20db7aa0-4c68-4e30-8b58-45c95ff840ca?rule=mo-80.jpg","78582 Balgheim","Autohaus Klaiber GmbH","4.8 Sterne","(2)","VW-Vertragshändler","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=416117558&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/63/6352757a-fe15-4e94-bda8-9806f32ff305?rule=mo-160w.jpg","Volkswagen T-Roc","1.5 TSI DSG Verkehr AHK LED ACC Kamera","30.990 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,0 l/100km (komb.) • 137 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/44/44ee8df1-e496-414f-a07a-6a4a3eaac770?rule=mo-80.jpg","70437 Stuttgart-Zuffenhausen","Autohaus Marquardt Service GmbH","4.7 Sterne","(96)","Anhängevorrichtung+ACC","Digital +Verkehr","Kamera+Lane Assist+LED"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414299045&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/b0/b0a7a120-5de9-4ba3-93b6-04257c7c4ce4?rule=mo-160w.jpg","Volkswagen Golf","R-Line 1,5 l eTSI OPF 150 PS DSG Navi/Klima","38.590 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","6,7 l/100km (komb.) • 151 g CO₂/km (komb.) • CO₂-Klasse E (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/fd/fde1e0e7-5f07-42f3-9e71-b058c6b64a40?rule=mo-80.jpg","63165 Mühlheim","Autohaus Best GmbH","4.4 Sterne","(106)","www.avemo-group.de","20.000 Autos abrufbar","gratis FZ-Bewertung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420610413&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/a1/a17b5b3b-88ad-4e86-a84e-489b991cbe0d?rule=mo-160w.jpg","Volkswagen Polo","Life 1.0 TSI NAVI+LED+SHZ","26.150 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,1 l/100km (komb.) • 116 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d0/d0f6f751-1bee-4e91-b5f7-760e2c1989af?rule=mo-80.jpg","57392 Schmallenberg","Autohaus Gierse & Schöllmann","4.5 Sterne","(26)","CarPlay","Klimaautomatik 2 Zonen","Scheiben abgedunkelt"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=411173185&action=eyeCatcher&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/33/33b3548f-a8bb-43a0-a9c4-7620b152b3fa?rule=mo-160w.jpg","Volkswagen Polo","Life 1.0 TSI NAVI+SHZ+KLIMAAUTO+EPH","26.150 €","¹","• 70 kW (95 PS) • Benzin","Neuwagen","5,2 l/100km (komb.) • 118 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/d0/d0f6f751-1bee-4e91-b5f7-760e2c1989af?rule=mo-80.jpg","57392 Schmallenberg","Autohaus Gierse & Schöllmann","4.5 Sterne","(26)","Winterräder","Einparkhilfe vo+hi","Scheiben abgedunkelt"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=400496267&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/e1/e1ceb69d-d3fd-4a2b-ab18-25e9b77d676d?rule=mo-160w.jpg","Volkswagen Golf","Life (NEUES MODELL) 1.5 eTSI 115PS DSG, ...","26.437 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,2 l/100km (komb.) • 118 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","92637 Weiden i. d. OPf.","Automobile Voit GmbH & Co. KG","4.3 Sterne","(11)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=402460272&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/07/07c600df-d1e8-42fa-85db-17433919f4b1?rule=mo-160w.jpg","Volkswagen Golf","Life (NEUES MODELL) 1.5 TSI 150 PS, 16"" ...","26.437 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","92637 Weiden i. d. OPf.","Automobile Voit GmbH & Co. KG","4.3 Sterne","(11)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=414545728&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/d1/d12f5ab6-5c0c-42df-8ac2-e58d15c181ea?rule=mo-160w.jpg","Volkswagen Golf","GOAL 1,5 l TSI 110 kW Rückfahrkamera*GJR","30.770 €","¹","• 110 kW (150 PS) • Benzin","Neuwagen","5,5 l/100km (komb.) • 125 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","91220 Schnaittach","Autohaus Strobel GmbH","4.1 Sterne","(14)","","",""
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=400316436&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/ea/ea10fabf-b103-4a49-9915-74eba59ca357?rule=mo-160w.jpg","Audi A3","Sportback 30 TFSI NEUBESTELLUNG","25.290 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 127 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","https://img.classistatic.de/api/v1/mo-prod/images/11/11db8562-1f63-4c60-b747-1c66a23f2caf?rule=mo-80.jpg","34125 Kassel","Audi Zentrum Kassel GmbH & Co. KG","4.8 Sterne","(7)","Frei Konfigurierbar","Besten Konditionen","Top Beratung"
"Versicherung vergleichen","Kontakt","Parken","https://suchen.mobile.de/fahrzeuge/details.html?id=420416177&con=NEW&dam=false&isSearchRequest=true&pageNumber=38&ref=srp&refId=7ec69489-340a-e682-bcab-5bbf26c8a554&s=Car&sb=rel&searchId=7ec69489-340a-e682-bcab-5bbf26c8a554&vc=Car","https://img.classistatic.de/api/v1/mo-prod/images/40/40455b39-170b-47a3-bd2c-1a6c873675dc?rule=mo-160w.jpg","Volkswagen Golf","Variant LIFE Limited LED-Plus Klimaauto....","26.390 €","¹","• 85 kW (116 PS) • Benzin","Neuwagen","5,6 l/100km (komb.) • 123 g CO₂/km (komb.) • CO₂-Klasse D (komb.)","","24238 Schleswig-Holstein - Selent","Autohaus Kleinfeld","4.7 Sterne","(7)","","",""
